Description,Ticker,Field ID,Field Mnemonic,Data State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
        Canada,CUFUMPCA Index,PX385,INTERVAL_SUM,Dynamic,,433434.7514,498240.6816,521195.1941,586350.2995,571481,542932,600364.0001,701557.0109,706049.8257,684206.3076,642225.5006,579343.15,567481.5,523638.5,489574
        United States,CUFUMPUS Index,PX385,INTERVAL_SUM,Dynamic,,1117395.355,1315712.346,1239165.427,1207560.438,1264650,1231982.5,1272325,1446900,1415000,1383850,1278700,1181603,1125644.5,1118868.5,1203945
        Mexico,CUFUMPMX Index,PX385,INTERVAL_SUM,Dynamic,,711382.5321,753470.5727,738209.2161,742663,771238,743268,742246,766444.5,607926,526641,480122.5,494069,443843,270136.5,239517
        Chile,CUFUMPCL Index,PX385,INTERVAL_SUM,Dynamic,,4872793.773,5474057.973,5634746.667,5735321.865,5795550,5831550,5503500,5552600,5772100,5761100,5776000,5433900,5262800,5418900,5392000
        Peru,CUFUMPPE Index,PX385,INTERVAL_SUM,Dynamic,,2464335.236,2474953.59,2291155.5,2149697.402,2459232,2437186.5,2445146,2353859,1700706,1378634,1375641,1298648,1235116.5,1247191,1275487
        Brazil,CUFUMPBR Index,PX385,INTERVAL_SUM,Dynamic,,353930.1236,336888.7374,330538.0149,337210.6096,356094.5,381348.5,377327.5,336298,352957.5,295979.5,271300,222349,214701,215021,213418.5
        Russia,CUFUMPRU Index,PX385,INTERVAL_SUM,Dynamic,,888059.151,948450.6816,855739.386,834787.0749,775564.5,759708,730999.5,712240,719900,711500,692500,678500,667550,672600,702220
        Poland,CUFUMPPL Index,PX385,INTERVAL_SUM,Dynamic,,371434.9363,392522.8942,395866.6667,417355,421950,401499.5,419501,424538,426135,421306.5,429142,427076,426684,425420,438999.5
        Bulgaria,CUFUMPBG Index,PX385,INTERVAL_SUM,Dynamic,,95062.51666,93658.41772,103781,112039.5,110250,112127.5,111658.5,110932.5,111298,109161.5,112572.5,113093.5,109802,108952.5,106373.5
        Portugal,CUFUMPPT Index,PX385,INTERVAL_SUM,Dynamic,,32546.9,33635.47632,38372,34023.5,42294.5,48577,65914,76581.5,82416.5,75291.55,76845.5,73763.5,82183,74319,86680.5
        Sweden,CUFUMPSE Index,PX385,INTERVAL_SUM,Dynamic,,77211.32338,96279.9179,92456.33333,104368.5,101349.5,105446,104448.5,78993,75372.5,79344.5,82833.5,82421,82971,76515,54602.5
        Finland,CUFUMPFI Index,PX385,INTERVAL_SUM,Dynamic,,22939.59583,28949.10864,31440,35152,32495,46754.5,53146,48326,41085.5,42789.5,38762.5,25450.5,13999,14700.5,14600.5
        China,CUFUMPCN Index,PX385,INTERVAL_SUM,Dynamic,,1726535.996,2067492.059,1898961.596,1789141.5,1641815.5,1565744,1681406.27,1875430,1689533,1758859,1698227,1564142,1294747,1179645.5,1061750.5
        Kazakhstan,CUFUMPKZ Index,PX385,INTERVAL_SUM,Dynamic,,675601.4508,724271.2528,716508.0593,712040,702667.5,740295,698491.5,540440,504819,469722.5,492766,454231,419199.5,411845.5,423861
        Indonesia,CUFUMPID Index,PX385,INTERVAL_SUM,Dynamic,,867181.9455,940659.4761,742388.9942,495251.5,378188,717265,644162,711897.5,579350,372440,501605.5,398323,542827,871773,996484.5
